,firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,carrier,gender
103,name104,lastname104,July,16,2001,BS Communications Technology Management,+63 918 852 3413,Smart,Female
104,name105,lastname105,March,5,1999,BS Information Technology Entrepreneurship,+63 917 502 7912,Globe,Male
105,name106,lastname106,August,25,1997,BS Communications Technology Management,+63 927 510 1038,Globe,Female
106,name107,lastname107,April,21,2001,BS Management,+63 927 958 1514,Globe,Female
107,name108,lastname108,May,14,1999,BS Management,+63 918 797 4867,Smart,Male
108,name109,lastname109,August,15,1998,BS Management Engineering,+63 917 615 3478,Globe,Female
109,name110,lastname110,January,8,1999,BS Management Engineering,+63 918 661 5521,Smart,Male
110,name111,lastname111,December,22,2001,BS Management Engineering,+63 918 401 1101,Smart,Female
111,name112,lastname112,May,19,1997,BS Management,+63 918 469 9048,Smart,Female
112,name113,lastname113,May,27,1997,BS Information Technology Entrepreneurship,+63 917 389 5698,Globe,Female
113,name114,lastname114,August,22,1999,BS Communications Technology Management,+63 917 946 6274,Globe,Female
114,name115,lastname115,March,26,1998,BS Information Technology Entrepreneurship,+63 917 236 8755,Globe,Male
115,name116,lastname116,July,19,1997,BS Information Technology Entrepreneurship,+63 918 269 1384,Smart,Female
116,name117,lastname117,January,11,1997,BS Legal Management,+63 918 953 2016,Smart,Male
117,name118,lastname118,February,4,1999,BS Management Engineering,+63 918 752 1689,Smart,Female
118,name119,lastname119,December,27,1997,BS Legal Management,+63 927 259 3515,Globe,Male
119,name120,lastname120,February,3,1997,BS Legal Management,+63 918 732 2042,Smart,Female
120,name121,lastname121,March,5,2000,BS Legal Management,+63 918 137 1929,Smart,Female
121,name122,lastname122,March,1,2001,BS Legal Management,+63 917 898 5495,Globe,Female
122,name123,lastname123,April,23,1999,BS Legal Management,+63 918 479 2283,Smart,Female
123,name124,lastname124,February,2,1999,BS Management,+63 917 428 8800,Globe,Male
124,name125,lastname125,November,24,1998,BS Legal Management,+63 917 641 8280,Globe,Female
125,name126,lastname126,June,4,2000,BS Legal Management,+63 927 272 9008,Globe,Male
126,name127,lastname127,March,3,2000,BS Legal Management,+63 917 218 3720,Globe,Male
127,name128,lastname128,June,20,1998,BS Legal Management,+63 918 872 3714,Smart,Female
128,name129,lastname129,October,25,1998,BS Management Engineering,+63 927 399 5328,Globe,Male
129,name130,lastname130,July,18,2000,BS Management,+63 927 384 8421,Globe,Female
130,name131,lastname131,February,23,1999,BS Communications Technology Management,+63 927 278 9317,Globe,Female
131,name132,lastname132,September,10,1999,BS Legal Management,+63 927 450 3540,Globe,Male
132,name133,lastname133,April,18,1999,BS Communications Technology Management,+63 927 150 7228,Globe,Female
133,name134,lastname134,May,7,2000,BS Management,+63 918 995 5243,Smart,Female
134,name135,lastname135,October,3,1999,BS Communications Technology Management,+63 927 949 9628,Globe,Female
135,name136,lastname136,October,5,2000,BS Management,+63 927 558 1218,Globe,Male
136,name137,lastname137,June,5,1998,BS Management Engineering,+63 918 191 7948,Smart,Female
137,name138,lastname138,February,5,1997,BS Information Technology Entrepreneurship,+63 918 636 6121,Smart,Male
138,name139,lastname139,April,8,1999,BS Information Technology Entrepreneurship,+63 918 532 3276,Smart,Male
139,name140,lastname140,September,2,1999,BS Management Engineering,+63 927 795 1469,Globe,Male
140,name141,lastname141,June,8,1998,BS Legal Management,+63 927 430 8948,Globe,Male
141,name142,lastname142,December,3,1999,BS Legal Management,+63 918 659 4663,Smart,Female
142,name143,lastname143,November,15,1999,BS Management Engineering,+63 927 716 8308,Globe,Female
143,name144,lastname144,October,14,1998,BS Management Engineering,+63 917 855 4111,Globe,Male
144,name145,lastname145,February,9,2001,BS Management,+63 918 256 2335,Smart,Male
145,name146,lastname146,September,11,1998,BS Management,+63 927 248 8520,Globe,Male
146,name147,lastname147,December,6,1999,BS Legal Management,+63 917 856 9506,Globe,Male
147,name148,lastname148,November,13,2000,BS Legal Management,+63 927 989 2750,Globe,Female
148,name149,lastname149,September,18,1997,BS Management,+63 927 124 4294,Globe,Male
149,name150,lastname150,August,5,1997,BS Management Engineering,+63 918 162 5544,Smart,Female
150,name151,lastname151,May,17,1998,BS Legal Management,+63 918 469 2092,Smart,Female
151,name152,lastname152,March,15,1999,BS Legal Management,+63 927 145 1261,Globe,Female
152,name153,lastname153,November,2,1999,BS Management Engineering,+63 927 415 2246,Globe,Male
153,name154,lastname154,August,2,1999,BS Management,+63 918 331 9863,Smart,Female
154,name155,lastname155,December,14,1999,BS Legal Management,+63 918 649 2584,Smart,Female
155,name156,lastname156,April,3,1998,BS Management,+63 918 146 7027,Smart,Female
156,name157,lastname157,August,13,1997,BS Management Engineering,+63 927 475 9634,Globe,Male
157,name158,lastname158,January,28,1999,BS Legal Management,+63 927 594 6138,Globe,Female
158,name159,lastname159,October,12,1998,BS Management,+63 927 653 5975,Globe,Female
159,name160,lastname160,December,25,2000,BS Communications Technology Management,+63 917 137 6557,Globe,Female
160,name161,lastname161,January,1,2000,BS Communications Technology Management,+63 917 289 3619,Globe,Male
161,name162,lastname162,January,26,2000,BS Communications Technology Management,+63 917 388 6944,Globe,Male
162,name163,lastname163,April,17,1999,BS Information Technology Entrepreneurship,+63 917 307 3272,Globe,Female
163,name164,lastname164,May,25,1997,BS Information Technology Entrepreneurship,+63 917 925 9571,Globe,Male
164,name165,lastname165,August,12,1998,BS Management,+63 918 281 2519,Smart,Male
165,name166,lastname166,February,16,1999,BS Management Engineering,+63 918 536 9523,Smart,Female
166,name167,lastname167,April,4,2000,BS Management,+63 918 705 3266,Smart,Female
167,name168,lastname168,July,5,1997,BS Management Engineering,+63 927 511 1039,Globe,Female
168,name169,lastname169,April,13,1998,BS Management Engineering,+63 918 284 3059,Smart,Female
169,name170,lastname170,June,9,2000,BS Information Technology Entrepreneurship,+63 927 797 7430,Globe,Female
170,name171,lastname171,August,17,1997,BS Legal Management,+63 918 227 4954,Smart,Female
171,name172,lastname172,September,24,2000,BS Communications Technology Management,+63 917 308 1448,Globe,Female
172,name173,lastname173,August,13,1998,BS Management Engineering,+63 917 180 6600,Globe,Female
173,name174,lastname174,October,19,1998,BS Management Engineering,+63 927 185 5392,Globe,Male
174,name175,lastname175,June,1,1999,BS Management Engineering,+63 917 492 1000,Globe,Female
175,name176,lastname176,June,9,1999,BS Information Technology Entrepreneurship,+63 927 787 2528,Globe,Female
176,name177,lastname177,July,1,2001,BS Management Engineering,+63 927 614 7614,Globe,Male
177,name178,lastname178,June,12,2001,BS Information Technology Entrepreneurship,+63 917 735 9355,Globe,Female
178,name179,lastname179,May,4,1998,BS Legal Management,+63 927 728 7081,Globe,Male
179,name180,lastname180,March,22,1999,BS Information Technology Entrepreneurship,+63 917 257 4982,Globe,Male
180,name181,lastname181,March,27,1999,BS Management Engineering,+63 917 744 6240,Globe,Female
181,name182,lastname182,June,2,1998,BS Communications Technology Management,+63 917 502 7471,Globe,Male
182,name183,lastname183,June,17,1997,BS Management,+63 918 582 2278,Smart,Female
183,name184,lastname184,December,23,1998,BS Information Technology Entrepreneurship,+63 927 891 4782,Globe,Female
184,name185,lastname185,April,18,1997,BS Management Engineering,+63 917 248 5615,Globe,Male
185,name186,lastname186,November,19,1997,BS Management Engineering,+63 918 859 3958,Smart,Female
186,name187,lastname187,April,18,2001,BS Legal Management,+63 917 575 5267,Globe,Male
187,name188,lastname188,September,2,1997,BS Management Engineering,+63 918 621 4437,Smart,Male
188,name189,lastname189,December,7,2000,BS Management,+63 918 447 8973,Smart,Female
189,name190,lastname190,July,6,1997,BS Management,+63 918 409 2087,Smart,Male
190,name191,lastname191,May,7,1999,BS Legal Management,+63 918 742 1522,Smart,Male
191,name192,lastname192,July,9,1999,BS Information Technology Entrepreneurship,+63 917 222 5936,Globe,Male
192,name193,lastname193,May,25,1997,BS Management Engineering,+63 918 730 6896,Smart,Female
193,name194,lastname194,September,2,1998,BS Legal Management,+63 917 399 8033,Globe,Male
194,name195,lastname195,July,15,2001,BS Management Engineering,+63 917 818 9641,Globe,Female
195,name196,lastname196,May,6,2001,BS Management Engineering,+63 927 486 8768,Globe,Male
196,name197,lastname197,October,24,2001,BS Management Engineering,+63 918 708 8549,Smart,Female
197,name198,lastname198,June,15,1997,BS Legal Management,+63 927 642 6498,Globe,Female
198,name199,lastname199,January,4,1999,BS Communications Technology Management,+63 927 536 3811,Globe,Female
199,name200,lastname200,November,13,1998,BS Management,+63 918 621 7426,Smart,Female
200,name201,lastname201,October,27,1997,BS Management,+63 917 681 9326,Globe,Female
201,name202,lastname202,April,15,2000,BS Management,+63 918 341 5085,Smart,Female
202,name203,lastname203,March,25,1998,BS Management Engineering,+63 918 419 5644,Smart,Female
203,name204,lastname204,November,4,1997,BS Information Technology Entrepreneurship,+63 927 383 5918,Globe,Male
204,name205,lastname205,March,12,2000,BS Management,+63 917 173 4981,Globe,Female
205,name206,lastname206,December,19,1997,BS Management Engineering,+63 917 309 4697,Globe,Female
206,name207,lastname207,November,27,2000,BS Information Technology Entrepreneurship,+63 918 744 5680,Smart,Male
207,name208,lastname208,October,20,1999,BS Communications Technology Management,+63 918 314 3702,Smart,Male
208,name209,lastname209,March,16,1999,BS Communications Technology Management,+63 917 764 8372,Globe,Female
209,name210,lastname210,April,2,1998,BS Information Technology Entrepreneurship,+63 927 750 7712,Globe,Female
210,name211,lastname211,January,26,1999,BS Management,+63 927 744 7095,Globe,Female
211,name212,lastname212,November,2,1999,BS Management,+63 917 600 5892,Globe,Male
212,name213,lastname213,August,23,1999,BS Management,+63 918 482 4436,Smart,Female
213,name214,lastname214,June,8,1999,BS Communications Technology Management,+63 917 229 1656,Globe,Female
214,name215,lastname215,November,1,1998,BS Communications Technology Management,+63 917 129 7511,Globe,Female
215,name216,lastname216,October,23,1999,BS Legal Management,+63 927 931 6222,Globe,Female
216,name217,lastname217,May,2,1998,BS Management Engineering,+63 917 510 8517,Globe,Male
217,name218,lastname218,April,19,2001,BS Communications Technology Management,+63 927 859 9615,Globe,Female
218,name219,lastname219,May,28,1997,BS Information Technology Entrepreneurship,+63 918 883 3812,Smart,Female
219,name220,lastname220,March,25,2001,BS Management,+63 927 855 3696,Globe,Female
220,name221,lastname221,July,12,2001,BS Management Engineering,+63 917 869 1592,Globe,Male
221,name222,lastname222,September,5,1999,BS Legal Management,+63 927 390 2398,Globe,Male
222,name223,lastname223,February,9,1997,BS Management,+63 918 250 3159,Smart,Male
223,name224,lastname224,December,18,2001,BS Management,+63 917 914 1992,Globe,Female
224,name225,lastname225,February,27,1998,BS Management Engineering,+63 917 168 1549,Globe,Male
225,name226,lastname226,March,12,1997,BS Legal Management,+63 918 812 9824,Smart,Female
226,name227,lastname227,October,8,1997,BS Management,+63 918 676 3675,Smart,Female
227,name228,lastname228,November,16,1999,BS Management,+63 927 616 9286,Globe,Female
228,name229,lastname229,June,11,1999,BS Legal Management,+63 927 975 8823,Globe,Male
229,name230,lastname230,December,4,1997,BS Communications Technology Management,+63 917 559 2469,Globe,Female
230,name231,lastname231,May,22,1998,BS Information Technology Entrepreneurship,+63 927 597 2823,Globe,Male
231,name232,lastname232,April,17,2000,BS Management,+63 917 418 9979,Globe,Male
232,name233,lastname233,June,13,2001,BS Management Engineering,+63 927 523 4422,Globe,Male
233,name234,lastname234,February,6,1997,BS Communications Technology Management,+63 917 911 6706,Globe,Male
234,name235,lastname235,July,7,1999,BS Management,+63 918 656 9527,Smart,Male
235,name236,lastname236,October,23,1998,BS Management,+63 917 251 3024,Globe,Male
236,name237,lastname237,December,14,1998,BS Legal Management,+63 927 940 8616,Globe,Male
237,name238,lastname238,March,4,2000,BS Communications Technology Management,+63 917 261 3868,Globe,Male
238,name239,lastname239,February,5,1997,BS Legal Management,+63 927 976 2990,Globe,Male
239,name240,lastname240,April,21,2001,BS Legal Management,+63 917 962 2388,Globe,Male
240,name241,lastname241,September,7,2000,BS Communications Technology Management,+63 917 560 3594,Globe,Female
241,name242,lastname242,June,1,1998,BS Information Technology Entrepreneurship,+63 917 267 6749,Globe,Female
242,name243,lastname243,November,19,1998,BS Communications Technology Management,+63 918 388 9243,Smart,Male
243,name244,lastname244,January,1,2000,BS Communications Technology Management,+63 918 418 8388,Smart,Male
244,name245,lastname245,March,5,1999,BS Management Engineering,+63 918 387 4071,Smart,Female
245,name246,lastname246,January,26,1998,BS Communications Technology Management,+63 918 871 2841,Smart,Female
246,name247,lastname247,August,3,1998,BS Management,+63 917 242 3611,Globe,Female
247,name248,lastname248,March,22,1998,BS Legal Management,+63 917 213 2389,Globe,Male
248,name249,lastname249,December,9,2000,BS Management Engineering,+63 917 548 3044,Globe,Male
249,name250,lastname250,May,24,2001,BS Management Engineering,+63 927 264 6574,Globe,Female
250,name251,lastname251,January,9,2000,BS Communications Technology Management,+63 917 582 8763,Globe,Female
251,name252,lastname252,December,6,2001,BS Management,+63 927 800 6849,Globe,Male
252,name253,lastname253,April,18,1997,BS Management Engineering,+63 918 414 2565,Smart,Female
253,name254,lastname254,August,3,1997,BS Communications Technology Management,+63 917 984 6143,Globe,Female
254,name255,lastname255,January,6,2001,BS Management Engineering,+63 927 234 8693,Globe,Male
255,name256,lastname256,December,7,1997,BS Management,+63 918 944 9432,Smart,Male
256,name257,lastname257,April,19,1997,BS Information Technology Entrepreneurship,+63 917 996 8937,Globe,Female
257,name258,lastname258,June,7,2001,BS Information Technology Entrepreneurship,+63 917 169 7326,Globe,Female
258,name259,lastname259,March,20,1999,BS Information Technology Entrepreneurship,+63 927 916 1852,Globe,Male
259,name260,lastname260,November,15,2000,BS Communications Technology Management,+63 917 843 5692,Globe,Male
260,name261,lastname261,June,4,1997,BS Legal Management,+63 918 456 7658,Smart,Male
261,name262,lastname262,July,26,1998,BS Communications Technology Management,+63 917 771 4152,Globe,Female
262,name263,lastname263,January,1,2000,BS Management,+63 917 773 4858,Globe,Male
263,name264,lastname264,November,1,2001,BS Information Technology Entrepreneurship,+63 918 108 6505,Smart,Male
264,name265,lastname265,November,26,2001,BS Management,+63 918 332 9306,Smart,Female
265,name266,lastname266,December,5,1997,BS Management,+63 917 551 8922,Globe,Female
266,name267,lastname267,July,5,1999,BS Legal Management,+63 917 537 9153,Globe,Male
267,name268,lastname268,October,21,1999,BS Management Engineering,+63 927 373 9092,Globe,Female
268,name269,lastname269,October,18,2001,BS Legal Management,+63 918 441 7553,Smart,Female
269,name270,lastname270,April,24,1998,BS Information Technology Entrepreneurship,+63 927 395 8754,Globe,Female
270,name271,lastname271,March,25,1997,BS Management Engineering,+63 918 351 3825,Smart,Female
271,name272,lastname272,July,27,1997,BS Information Technology Entrepreneurship,+63 917 275 1598,Globe,Female
272,name273,lastname273,August,7,1999,BS Communications Technology Management,+63 927 511 6858,Globe,Female
273,name274,lastname274,January,5,1997,BS Management,+63 917 580 5437,Globe,Female
274,name275,lastname275,April,20,1998,BS Communications Technology Management,+63 917 418 9759,Globe,Male
275,name276,lastname276,January,12,2001,BS Information Technology Entrepreneurship,+63 917 559 3566,Globe,Female
276,name277,lastname277,December,24,1999,BS Legal Management,+63 927 416 3898,Globe,Female
277,name278,lastname278,February,8,1997,BS Management,+63 917 735 6446,Globe,Female
278,name279,lastname279,October,12,1998,BS Legal Management,+63 927 359 4345,Globe,Female
279,name280,lastname280,November,15,2000,BS Management,+63 918 183 9884,Smart,Female
280,name281,lastname281,February,12,1997,BS Management,+63 918 541 2404,Smart,Male
281,name282,lastname282,March,23,1998,BS Management,+63 918 393 1948,Smart,Male
282,name283,lastname283,November,3,1997,BS Information Technology Entrepreneurship,+63 918 927 3119,Smart,Female
283,name284,lastname284,August,13,1999,BS Communications Technology Management,+63 927 868 4707,Globe,Male
284,name285,lastname285,September,17,1998,BS Communications Technology Management,+63 927 419 8095,Globe,Male
285,name286,lastname286,December,28,1999,BS Information Technology Entrepreneurship,+63 927 907 8179,Globe,Male
286,name287,lastname287,February,18,1998,BS Communications Technology Management,+63 917 992 5274,Globe,Male
287,name288,lastname288,April,4,2001,BS Information Technology Entrepreneurship,+63 917 527 6893,Globe,Female
288,name289,lastname289,October,15,1997,BS Management Engineering,+63 917 756 9357,Globe,Male
289,name290,lastname290,July,8,1997,BS Management Engineering,+63 918 927 4291,Smart,Female
290,name291,lastname291,December,27,2000,BS Management,+63 918 974 1369,Smart,Female
291,name292,lastname292,January,25,1999,BS Communications Technology Management,+63 917 878 8313,Globe,Female
292,name293,lastname293,March,1,1999,BS Management Engineering,+63 927 608 4808,Globe,Male
293,name294,lastname294,January,14,1998,BS Legal Management,+63 918 983 8521,Smart,Male
294,name295,lastname295,November,19,1999,BS Information Technology Entrepreneurship,+63 918 345 5057,Smart,Male
295,name296,lastname296,April,26,1999,BS Management,+63 927 416 2499,Globe,Male
296,name297,lastname297,November,10,2000,BS Legal Management,+63 917 620 1837,Globe,Female
297,name298,lastname298,January,8,1999,BS Management,+63 927 291 3676,Globe,Female
298,name299,lastname299,February,18,1998,BS Management,+63 927 348 6668,Globe,Male
299,name300,lastname300,May,22,1997,BS Communications Technology Management,+63 918 815 5153,Smart,Male
300,name301,lastname301,April,27,1999,BS Legal Management,+63 927 285 5378,Globe,Female
301,name302,lastname302,May,1,2001,BS Legal Management,+63 918 511 3241,Smart,Female
302,name303,lastname303,December,18,1997,BS Legal Management,+63 917 739 1115,Globe,Male
303,name304,lastname304,September,18,2000,BS Communications Technology Management,+63 918 533 7507,Smart,Male
304,name305,lastname305,January,15,1997,BS Management,+63 917 641 8911,Globe,Male
305,name306,lastname306,March,3,1998,BS Legal Management,+63 917 155 3009,Globe,Female
306,name307,lastname307,February,12,2000,BS Information Technology Entrepreneurship,+63 918 386 6738,Smart,Male
307,name308,lastname308,December,13,1998,BS Communications Technology Management,+63 927 827 6122,Globe,Male
308,name309,lastname309,November,8,1998,BS Management,+63 917 132 5014,Globe,Male
309,name310,lastname310,August,21,1998,BS Information Technology Entrepreneurship,+63 918 225 1879,Smart,Male
310,name311,lastname311,June,23,1998,BS Management Engineering,+63 918 704 4147,Smart,Male
311,name312,lastname312,May,16,1999,BS Management Engineering,+63 918 284 8832,Smart,Female
312,name313,lastname313,August,8,1997,BS Information Technology Entrepreneurship,+63 917 379 9404,Globe,Female
313,name314,lastname314,July,19,1998,BS Management,+63 918 131 5008,Smart,Male
314,name315,lastname315,December,19,1998,BS Legal Management,+63 917 656 2606,Globe,Female
315,name316,lastname316,April,14,2001,BS Communications Technology Management,+63 927 212 2224,Globe,Male
316,name317,lastname317,September,16,1997,BS Management Engineering,+63 918 458 4727,Smart,Male
317,name318,lastname318,March,5,1999,BS Communications Technology Management,+63 917 462 5719,Globe,Male
318,name319,lastname319,August,10,2000,BS Management Engineering,+63 927 239 1604,Globe,Male
